pctChg1,pctChg2,pctChg3,pctChg4,pctChg5,pctChg6,pctChg7,pctChg8,pctChg9,pctChg10,pctChg11,pctChg12,pctChg13,pctChg14,y
-1.755,-1.213,-3.286,-1.119,-1.318,-0.999,0.503,-1.199,0.259,2.282,-0.409,1.809,0.276,0.743,1
-1.213,-3.286,-1.119,-1.318,-0.999,0.503,-1.199,0.259,2.282,-0.409,1.809,0.276,0.743,-5.701,0
-3.286,-1.119,-1.318,-0.999,0.503,-1.199,0.259,2.282,-0.409,1.809,0.276,0.743,-5.701,-2.17,0
-1.119,-1.318,-0.999,0.503,-1.199,0.259,2.282,-0.409,1.809,0.276,0.743,-5.701,-2.17,0.061,0
-1.318,-0.999,0.503,-1.199,0.259,2.282,-0.409,1.809,0.276,0.743,-5.701,-2.17,0.061,1.553,0
-0.999,0.503,-1.199,0.259,2.282,-0.409,1.809,0.276,0.743,-5.701,-2.17,0.061,1.553,-1.472,0
0.503,-1.199,0.259,2.282,-0.409,1.809,0.276,0.743,-5.701,-2.17,0.061,1.553,-1.472,0.446,0
-1.199,0.259,2.282,-0.409,1.809,0.276,0.743,-5.701,-2.17,0.061,1.553,-1.472,0.446,-0.873,0
0.259,2.282,-0.409,1.809,0.276,0.743,-5.701,-2.17,0.061,1.553,-1.472,0.446,-0.873,-2.906,0
2.282,-0.409,1.809,0.276,0.743,-5.701,-2.17,0.061,1.553,-1.472,0.446,-0.873,-2.906,-1.146,0
-0.409,1.809,0.276,0.743,-5.701,-2.17,0.061,1.553,-1.472,0.446,-0.873,-2.906,-1.146,-5.244,1
1.809,0.276,0.743,-5.701,-2.17,0.061,1.553,-1.472,0.446,-0.873,-2.906,-1.146,-5.244,1.182,0
0.276,0.743,-5.701,-2.17,0.061,1.553,-1.472,0.446,-0.873,-2.906,-1.146,-5.244,1.182,-4.281,1
0.743,-5.701,-2.17,0.061,1.553,-1.472,0.446,-0.873,-2.906,-1.146,-5.244,1.182,-4.281,-1.23,0
-5.701,-2.17,0.061,1.553,-1.472,0.446,-0.873,-2.906,-1.146,-5.244,1.182,-4.281,-1.23,0.727,0
-2.17,0.061,1.553,-1.472,0.446,-0.873,-2.906,-1.146,-5.244,1.182,-4.281,-1.23,0.727,-0.797,0
0.061,1.553,-1.472,0.446,-0.873,-2.906,-1.146,-5.244,1.182,-4.281,-1.23,0.727,-0.797,2.626,0
1.553,-1.472,0.446,-0.873,-2.906,-1.146,-5.244,1.182,-4.281,-1.23,0.727,-0.797,2.626,2.475,0
